QQ号码,官方网址,店铺名称,拿货地址,电话
QQ：704124682,http://shop1031271.k3.cn,潮卡妮鞋业,拿货地址： 温岭市 夹屿   金施村B区70号  ,13616863344
QQ：1704821916,http://shop1042908.k3.cn,艾美妮,拿货地址： 温岭市 城北街道   杨家渭51号  ,18667700707
QQ：676561057,http://shop1042990.k3.cn,百客鞋业,拿货地址： 温岭市 夹屿    金施村   牧新路73号  ,15858612306
QQ：2632504771,http://shop1042293.k3.cn,恺蔓鞋业,拿货地址： 温岭市 夹屿    双峰村   振兴路28号  ,15068606947
QQ：270549158,http://shop1043025.k3.cn,张三疯鞋业,拿货地址： 温岭市 夹屿   夹屿新村E幢23号  ,15325584567
QQ：30272967,http://shop1033600.k3.cn,梦园鞋业,拿货地址： 温岭市 城北街道   杨家渭47号  ,15067699317
QQ：3462774590,http://shop1042715.k3.cn,盛立鞋业,拿货地址： 温岭市 横峰   前陈五区17号  ,13567753337
QQ：919812628,http://shop1043010.k3.cn,乔伊鞋业,拿货地址： 温岭市 夹屿    双峰村   花园路30号  ,15057612588
QQ：380671854,http://shop1042995.k3.cn,华瑞女鞋,拿货地址： 温岭市 夹屿   联夹大道47号  ,13867644152
QQ：957374969,http://shop1043102.k3.cn,哲希鞋业,拿货地址： 温岭市 横峰   前陈新村B区13幢109号  ,18827987235
QQ：479248672,http://shop1043073.k3.cn,缇妮鞋业,拿货地址： 温岭市 夹屿   金施村B区167号  ,13581971849
QQ：2994750874,http://shop1042818.k3.cn,建成鞋业,拿货地址： 温岭市 夹屿   双峰大道155号  ,13157662579
QQ：11828102,http://xwf.k3.cn,兴旺发鞋业,拿货地址： 温岭市 夹屿   金施村B区59号  ,13566693368 13958634528
QQ：875282266,http://shop1043030.k3.cn,源鑫隆,拿货地址： 温岭市 夹屿   金施村B区59号  ,13958634528
QQ：2395288611,http://shop1043094.k3.cn,万佳利鞋业8,拿货地址： 温岭市 夹屿    双峰村   南洋路18号  ,13586233379
QQ：175325058,http://shop1043108.k3.cn,杰胜鞋业,拿货地址： 温岭市 夹屿    双峰大道   双峰一区77-2号  ,18067738573
QQ：645279309,http://shop1041978.k3.cn,能干豆鞋业,拿货地址： 温岭市 夹屿    双峰大道   双峰一区80号  ,13136472882 15939731906
QQ：745062704,http://shop1043089.k3.cn,美哒鞋业,拿货地址： 温岭市 夹屿    双峰大道   双峰一区156号  ,13616691433 18550057909
QQ：86461565,http://shop1043084.k3.cn,华荣鞋业,拿货地址： 温岭市 夹屿   光明村樟皇B区88-89号  ,18857898995 13857675896
QQ：448464766,http://shop1038350.k3.cn,艾玛鞋业,拿货地址： 温岭市 夹屿    双峰大道   双峰一区76号  ,13819106014
QQ：247849146,http://shop1043071.k3.cn,柠玖女鞋,拿货地址： 温岭市 夹屿   横泾村A区36号  ,13606766435
QQ：1825325443,http://shop1043060.k3.cn,步香尘,拿货地址： 温岭市 夹屿   横泾村A区36号  ,13586052067
QQ：271772075,http://shop1042863.k3.cn,欧邦鞋业,拿货地址： 温岭市 夹屿   欧风西路133号  ,13566676729
QQ：952456210,http://shop1042937.k3.cn,蓝色风暴,拿货地址： 温岭市 夹屿   长大村A区216号  ,13336780775 13802770056
QQ：1306778079,http://shop1043081.k3.cn,千姿百媚鞋业,拿货地址： 温岭市 夹屿   长大村A区220号  ,18248675689
QQ：2248928411,http://yunyangxieye.k3.cn,云阳鞋业,拿货地址： 温岭市 横峰    横石路   横石中路东洋290-1号  ,18883083454 13819665384
QQ：1374326069,http://shop1042755.k3.cn,鑫联鞋业,拿货地址： 温岭市 横峰    横石路   横石中路360号  ,15057631967
QQ：414259514,http://shop1042757.k3.cn,奈斯时尚,拿货地址： 温岭市 夹屿   双峰大道225-2号  ,18811412211
QQ：414259514,http://shop1043023.k3.cn,南北女鞋,拿货地址： 温岭市 夹屿   双峰大道225-1号  ,18811412211
QQ：1140267330,http://shop1042867.k3.cn,韩千美足,拿货地址： 温岭市 夹屿    双峰大道   双峰一区193号  ,15325550120
QQ：3216074499,http://dfbao.k3.cn,北海时尚,拿货地址： 温岭市 夹屿   双峰大道125号  ,13325963725
QQ：2119734845,http://shop1042986.k3.cn,舒语鞋业,拿货地址： 温岭市 夹屿    双峰大道   双峰一区10号  ,15324561010 18919751521
QQ：1260983305,http://shop1043048.k3.cn,名启鞋业,拿货地址： 温岭市 夹屿    双峰大道   双峰一区162号  ,13375168732
QQ：1446812427,http://shop1040875.k3.cn,昊天女鞋,拿货地址： 温岭市 夹屿   联夹大道79号  ,13736569379
QQ：3361161050,http://shop1042835.k3.cn,奥立鞋业,拿货地址： 温岭市 夹屿   双峰大道150号  ,13586286565 18658619567
QQ：490826435,http://shop1042868.k3.cn,昱轩鞋业,拿货地址： 温岭市 夹屿   联夹大道99号  ,13362662229 13586075594
QQ：1551795093,http://shop1042994.k3.cn,婷伟鞋业,拿货地址： 温岭市 夹屿   双峰大道157号  ,13681808777
QQ：275806458,http://shop1043079.k3.cn,步生莲鞋业,拿货地址： 温岭市 夹屿   复兴路65号  ,13711198217
QQ：3011128418,http://shop1042997.k3.cn,百思特鞋业,拿货地址： 温岭市 夹屿   双峰大道165号  ,15267640970
QQ：2650096948,http://shop1042987.k3.cn,雨文女鞋,拿货地址： 温岭市 夹屿   双峰大道288号  ,15770574641 18370548586
QQ：517189972,http://shop1042977.k3.cn,小桃鞋业,拿货地址： 温岭市 夹屿   双峰大道228号  ,15896778985
QQ：564085991,http://shop1043077.k3.cn,国盛鞋业,拿货地址： 温岭市 夹屿   夹屿新村B幢1号  ,13806692190
QQ：3322932778,http://shop1043007.k3.cn,雨燕鞋业,拿货地址： 温岭市 夹屿   双峰大道195号  ,13250868661 13251073426
QQ：3482635292,http://shop1043034.k3.cn,奥斯卡女鞋业,拿货地址： 温岭市 夹屿   长大村A区46号  ,15167604491 18154263007
QQ：2140596937,http://shop1042996.k3.cn,足步鞋业,拿货地址： 温岭市 城北街道    麻车村   麻车新区1幢2号  ,13983312154
QQ：751864269,http://shop1043045.k3.cn,宏瑞鞋业,拿货地址： 温岭市 夹屿   夹屿新村A幢6号  ,15727812256
QQ：990321152,http://shop1043054.k3.cn,永凯鞋业,拿货地址： 温岭市 夹屿    金施村   牧新路57号  ,13385666363 18079871168
QQ：2506799466,http://yls.k3.cn,涵雨时尚,拿货地址： 温岭市 夹屿   金施村A区37号  ,13906562927
QQ：847469362,http://shop1042982.k3.cn,极美鞋业,拿货地址： 温岭市 夹屿   金施村A区59号  ,13958680685 18072566215
QQ：809936009,http://shop1043067.k3.cn,足上鞋业,拿货地址： 温岭市 横峰   小东洋旭东路17号  ,13868522796 18367431790
QQ：1241981530,http://shop1042737.k3.cn,花头女鞋,拿货地址： 温岭市 夹屿   金施村A区166号  ,15067638378
QQ：154305723,http://shop1042601.k3.cn,顶盛鞋业,拿货地址： 温岭市 夹屿   中兴路51号  ,13858685991 18607083032
QQ：237106014,http://shop1042845.k3.cn,美丽伊族,拿货地址： 温岭市 城北街道    石粘   南山闸216号  ,15990666123
QQ：501195017,http://shop1042823.k3.cn,盈伊鞋业,拿货地址： 温岭市 夹屿   双峰大道157号  ,15173385677 13786363277
QQ：1032445120,http://shop1042832.k3.cn,芊芊美足,拿货地址： 温岭市 城北街道   麻车村431号  ,17385893434
QQ：1078658317,http://shop1042848.k3.cn,麦尔鞋业,拿货地址： 温岭市 夹屿   双峰大道175号  ,18806762236
QQ：1078658317,http://shop1042824.k3.cn,伊芯鞋业,拿货地址： 温岭市 夹屿   双峰大道175号  ,18806762236 13566278056
QQ：1354425509,http://shop1042810.k3.cn,韩漂亮,拿货地址： 温岭市 夹屿   欧风路2号  ,15016998434
QQ：2890791930,http://shop1042800.k3.cn,美妃,拿货地址： 温岭市 夹屿   金施村C区79号  ,13575868118
QQ：228305186,http://shop1038877.k3.cn,艾微雅,拿货地址： 温岭市 横峰   下洋林124-2号  ,18241982919
QQ：928914996,http://shop1042634.k3.cn,澳之星,拿货地址： 温岭市 夹屿   欧风路大西金  ,15136174515
QQ：848009038,http://dafuninvxie.k3.cn,达夫妮,拿货地址： 温岭市 夹屿   长大村C区42号  ,15958698848
QQ：380909308,http://shop1042805.k3.cn,利发,拿货地址： 温岭市 夹屿   金施村A区186号  ,13058630116
QQ：2260852122,http://shop1042791.k3.cn,茗蕙雅女鞋,拿货地址： 温岭市 夹屿   夹屿新村1幢10号  ,13185768258
QQ：3886811,http://shop1042809.k3.cn,宸乐鞋业,拿货地址： 温岭市 夹屿   金施村A区35号  ,15168677343
QQ：1175081738,http://shop1042694.k3.cn,艳伶,拿货地址： 温岭市 夹屿   欧风路61号  ,14792581155 18072526837
QQ：757396120,http://shop1042789.k3.cn,熊猫女鞋,拿货地址： 温岭市 夹屿   欧风西路98-99号  ,18137897057
QQ：893985681,http://jingtu.k3.cn,憬途,拿货地址： 温岭市 夹屿   欧风西路98-99号  ,13606672377 15737669160
QQ：964664064,http://shop1040435.k3.cn,盛强鞋业,拿货地址： 温岭市 城北街道   花桥村15幢10号  ,13839708561 13957678963
QQ：703173131,http://shop1042736.k3.cn,卓驰鞋厂,拿货地址： 温岭市 城北街道   麻车村95号  ,15381878652
QQ：1766574451,http://shop1042784.k3.cn,涵雪儿,拿货地址： 温岭市 夹屿   金施村A区38号  ,15325600251 18559388360
QQ：1173556221,http://shop1042687.k3.cn,梓名,拿货地址： 温岭市 夹屿   金施村A区38号  ,15325762033
QQ：1063467129,http://shop1042754.k3.cn,欧婕丽,拿货地址： 温岭市 夹屿   金施村A区71号  ,13968486814 17630643390
QQ：553893722,http://shop1042729.k3.cn,锦铭鞋业,拿货地址： 温岭市 城北街道   杨家渭新区2幢15号  ,15381872520
QQ：982455748,http://shop1042706.k3.cn,卡卡精品女鞋,拿货地址： 温岭市 城北街道   沧浦村二区1幢8号  ,13750666414
QQ：2282034769,http://shop1042712.k3.cn,熹微鞋业,拿货地址： 温岭市 城北街道    石粘   南山闸115号  ,13058685167
QQ：2917373223,http://shop1042701.k3.cn,翊鑫鞋业,拿货地址： 温岭市 城北街道    石粘   山马工业区新民路  ,13058882850 13174768608
QQ：3519470875,http://shop1042620.k3.cn,执麦,拿货地址： 温岭市 城北街道   高坦村A区171号  ,13105686025
QQ：657333700,http://shop1042680.k3.cn,益洋鞋业,拿货地址： 温岭市 夹屿    双峰村   振兴路2-3号  ,13093866470 15355627313
QQ：1446849776,http://shop1042682.k3.cn,足润发鞋业,拿货地址： 温岭市 夹屿    泽楚路   后西汇工业区23号  ,18257699359
QQ：767782668,http://shop1042666.k3.cn,微微佳鞋业,拿货地址： 温岭市 横峰    横石路   横石中路484号  ,13655552588 18066359858
QQ：1191106516,http://jinhongyuanxieye.k3.cn,聚鸿鞋业,拿货地址： 温岭市 夹屿   欧风路2号  ,18906563326 18906563316
QQ：2107455818,http://shop1042659.k3.cn,777鞋业,拿货地址： 温岭市 夹屿   金施村B区169号  ,13058636793
QQ：715423914,http://shop1030567.k3.cn,梦格鹿特女鞋,拿货地址： 温岭市 城北街道   横塘小区42幢6-7号  ,13282862806
QQ：1591097142,http://shop1042656.k3.cn,左川鞋业,拿货地址： 温岭市 横峰   前陈四区50号  ,13732322631
QQ：2865821965,http://shop1042590.k3.cn,恋上鞋坊,拿货地址： 温岭市 夹屿   长大村A区238号  ,18736782487 15990665945
QQ：2830097568,http://shop1042646.k3.cn,女主鞋业,拿货地址： 温岭市 城北街道   万昌村芳田72号  ,13221662119 13291619130
QQ：814464048,http://shop1042612.k3.cn,金晟源,拿货地址： 温岭市 城北街道   杨家渭32号  ,18969662877
QQ：1420004965,http://shop1042642.k3.cn,逸冉鞋业,拿货地址： 温岭市 横峰   前陈二区123号  ,18837252391
QQ：1245604723,http://shop1042599.k3.cn,柏晨,拿货地址： 温岭市 横峰   东塘工业区108号  ,13566669218
QQ：739151698,http://shop1042633.k3.cn,蔓莉鞋业,拿货地址： 温岭市 横峰   前陈一区锦绣路8-2号  ,13806620227 1379990026518109300939
QQ：1441288826,http://bailisini.k3.cn,佰俪斯妮,拿货地址： 温岭市 横峰    横石路   横石中路129号  ,18868278628
QQ：292364076,http://xmy.k3.cn,名媛.鞋业,拿货地址： 温岭市 夹屿    双峰村   南洋路22号  ,18767699518 15657618178
QQ：3252828011,http://shop1042628.k3.cn,轻胜马,拿货地址： 温岭市 夹屿    双峰大道   双峰一区93号  ,18968500778
QQ：764887627,http://shop1042618.k3.cn,福星,拿货地址： 温岭市 横峰    横石路   横石中路444号  ,18958667673
QQ：357097180,http://shop1042617.k3.cn,红C鞋业,拿货地址： 温岭市 横峰   下洋林56号  ,18906577372
QQ：744340854,http://shop1042607.k3.cn,祥亿鞋业,拿货地址： 温岭市 夹屿   金施村C区75号  ,13738671925 15932068524
QQ：3358761725,http://shop1042619.k3.cn,华美足鞋业,拿货地址： 温岭市 夹屿   欧风路大西金59-18号  ,15267248169
QQ：2126413664,http://shop1042616.k3.cn,磊彩诚,拿货地址： 温岭市 横峰   前陈三区17号  ,13575815736 13438578313
QQ：397796077,http://shop1042587.k3.cn,嫦乐缘鞋业,拿货地址： 温岭市 夹屿   金施村A区83号  ,13644609559
QQ：791972669,http://shop1030678.k3.cn,朦胧鞋业,拿货地址： 温岭市 城北街道    沧浦村   九份村新区107号  ,13586299303
QQ：260603824,http://shop1042540.k3.cn,淘丫丫女鞋,拿货地址： 温岭市 夹屿   金施村A区125号  ,13088602019
QQ：1945085951,http://shop1042579.k3.cn,一凡鞋业,拿货地址： 温岭市 横峰   七份岸新区61号  ,15888689315 15937240412
QQ：376189091,http://shop1042610.k3.cn,安妮轩,拿货地址： 温岭市 横峰    横石路   横石中路397号  ,15957691781 15857630599
QQ：495134877,http://shop1042594.k3.cn,飞奇鞋业,拿货地址： 温岭市 城北街道   杨家渭49号  ,15967665426
QQ：1036412566,http://shop1042592.k3.cn,宜家鞋业,拿货地址： 温岭市 夹屿   中兴路8号  ,15560001254
QQ：2284127250,http://shop1042528.k3.cn,旺兴鞋业,拿货地址： 温岭市 夹屿    双峰村   南洋路28号  ,15800979782
QQ：97879765,http://hmy.k3.cn,红妹缘,拿货地址： 温岭市 夹屿   欧风路12号  ,13656575865
QQ：569192157,http://shop1042576.k3.cn,美人印,拿货地址： 温岭市 横峰   前陈四区83号  ,18815225006 18398856751
QQ：2659652080,http://shop1042583.k3.cn,新潮流制鞋,拿货地址： 温岭市 夹屿   横泾村B区173号  ,13058731165 17627291276
QQ：3236273711,http://0578.k3.cn,馨雅鞋业,拿货地址： 温岭市 城北街道   万昌村芳田92号  ,13735928446 15355699225
QQ：2954698076,http://shop1032651.k3.cn,小夏女鞋,拿货地址： 温岭市 夹屿   金施村B区123号  ,19957611206
QQ：157053558,http://yiqiba.k3.cn,曼钰鞋业,拿货地址： 温岭市 夹屿   金施村A区7号  ,13566861779
QQ：2518055101,http://shop1042557.k3.cn,似锦鞋业,拿货地址： 温岭市 横峰   七份岸新区87号  ,15888659415
QQ：2455781511,http://18767622724.k3.cn,华丽女鞋屋,拿货地址： 温岭市 横峰   七份岸新区77号  ,13967575541
QQ：2917373223,http://shop1042554.k3.cn,美轩,拿货地址： 温岭市 城北街道   杨家渭新区5幢31号  ,13676663672
QQ：2637937800,http://jingzulai.k3.cn,九江红鞋业,拿货地址： 温岭市 夹屿   横泾村B区178号  ,18069336859 15988976187
QQ：356761272   ,http://shop1042509.k3.cn,辣目洋子,拿货地址： 温岭市 夹屿   夹屿新村C幢15号  ,15157668838
QQ：2577068082,http://shop1042518.k3.cn,足亿,拿货地址： 温岭市 夹屿   欧风西路55号  ,13305863074
QQ：2679930269,http://shop1042531.k3.cn,淘豆豆女鞋,拿货地址： 温岭市 夹屿   金施村新区5号  ,15257668179 18382953166
QQ：627418247,http://shop1042516.k3.cn,荣乐,拿货地址： 温岭市 夹屿   横泾村B区63号  ,15325603858
QQ：537774888,http://shop1039794.k3.cn,路牌鞋业有限公司,拿货地址： 温岭市 横峰   下洋林发展路30号  ,13306569088
QQ：316633290,http://shop1042514.k3.cn,雨辰鞋业,拿货地址： 温岭市 夹屿   泽楚路32号  ,18652866776
QQ：3369247175,http://shop1042507.k3.cn,靓丽点销售部,拿货地址： 温岭市 夹屿   联夹大道103-1号  ,13106028566
QQ：1033941140,http://shop1042492.k3.cn,嘉耀鞋业,拿货地址： 温岭市 城北街道   花桥村21幢2号  ,18767692642
QQ：255347961,http://shop1042496.k3.cn,菲珂鞋业,拿货地址： 温岭市 夹屿   长大村B区186号  ,18074106090
QQ：435419268,http://shop1042476.k3.cn,百亿鞋业,拿货地址： 温岭市 夹屿    双峰大道   双峰一区122号  ,13957771477
QQ：773816887,http://shop1042414.k3.cn,晓舟鞋业,拿货地址： 温岭市 夹屿    双峰村   振兴路23-2号  ,13868536209
QQ：243261880,http://shop1042484.k3.cn,亿美秀足鞋业,拿货地址： 温岭市 横峰    七份岸   七分岸老区16号  ,13625799987 13777622581
QQ：651729092、 1515011202,http://shop1042488.k3.cn,小仙足鞋业,拿货地址： 温岭市 夹屿   双峰大道96号  ,18056636398 15869602243
QQ：454763811,http://shop1031639.k3.cn,惠足女鞋,拿货地址： 温岭市 横峰   七份岸新区17号  ,18607986689 18957639985
QQ：1955564949,http://shop1042487.k3.cn,锦诚鞋业,拿货地址： 温岭市 夹屿   复兴路49号  ,13157639200
QQ：593956796,http://shop1042458.k3.cn,蓝浩女鞋,拿货地址： 温岭市 夹屿   池头林5号  ,13958652590
QQ：1392347846,http://shop1042481.k3.cn,爱雅达,拿货地址： 温岭市 夹屿   联夹大道58号  ,13173769300 17765162972
QQ：591704979,http://shop1042455.k3.cn,广洋女鞋,拿货地址： 温岭市 城北街道    万昌村芳田   芳田新村5幢8号  ,13758633939 13758677720
QQ：3634435590,http://shop1042437.k3.cn,娜娜婚鞋,拿货地址： 温岭市 夹屿    泽楚路   后西汇工业区26号  ,18158635853
QQ：250987500,http://maylz.k3.cn,蚂蚁老祖鞋业,拿货地址： 温岭市 横峰    横石路   横石中路484号  ,13586262198 15657697181
QQ：136711523,http://shop1042449.k3.cn,范轩女鞋,拿货地址： 温岭市 城北街道    麻车村   麻车园田新区6幢2号  ,18906766790
QQ：2819089268,http://shop1042457.k3.cn,北北女鞋,拿货地址： 温岭市 横峰    横石路   横石中路东洋412号  ,15157627370
QQ：1956450261,http://shop1042448.k3.cn,伊贝尔,拿货地址： 温岭市 夹屿    泽楚路   后西汇工业区21号  ,15922633800 18183125242
QQ：2905589102,http://shop1042429.k3.cn,秀依波女鞋,拿货地址： 温岭市 夹屿    双峰村   振兴路2号  ,17816561730
QQ：635444299,http://shop1030651.k3.cn,悉尼鞋业,拿货地址： 温岭市 夹屿   夹屿新村E幢10号  ,13326075320
QQ：2430780189,http://shop1042400.k3.cn,顺意鞋业,拿货地址： 温岭市 夹屿   泽楚路46号  ,13858687528
QQ：2994506538,http://shop1042438.k3.cn,仟仟佳俪,拿货地址： 温岭市 横峰   下洋林发展路5-1  ,13586243587
QQ：841815263,http://shop1042105.k3.cn,伊人行鞋业,拿货地址： 温岭市 夹屿   欧风路大西金  ,18898595315
QQ：365059759,http://shop1042410.k3.cn,温岭赛欧鞋业,拿货地址： 温岭市 城北街道    石粘   北新北路122号  ,13758669399
QQ：1228903894,http://shop1042415.k3.cn,中东汇鞋业,拿货地址： 温岭市 城北街道   杨家渭新区16幢3号  ,13288756893
QQ：85717857,http://shop1042412.k3.cn,惠丰女鞋,拿货地址： 温岭市 城北街道   杨家渭新区27幢1号  ,15868632743
QQ：977965409,http://shop1042393.k3.cn,梦瑶制鞋,拿货地址： 温岭市 夹屿   横泾村A区37号  ,15267207255
QQ：277958195,http://shop1042389.k3.cn,卉妹真皮女鞋,拿货地址： 温岭市 夹屿   欧风路6号  ,13858666180
QQ：1216136675,http://shop1042364.k3.cn,岭誉鞋业,拿货地址： 温岭市 夹屿   欧风西路188号  ,15079266618
QQ：845771758,http://shop1042360.k3.cn,八月女鞋,拿货地址： 温岭市 夹屿    金施村   牧新路13号  ,13761672365 15216601985
QQ：1652553782,http://shop1042383.k3.cn,国庆鞋业,拿货地址： 温岭市 夹屿   双峰大道170号  ,13957663859
QQ：554244022,http://shop1042353.k3.cn,路路宝鞋业,拿货地址： 温岭市 夹屿   双峰大道286号  ,15267963560 18322820009
QQ：1024253698,http://shop1042376.k3.cn,益佰嘉鞋业,拿货地址： 温岭市 横峰   前陈二区89-2号  ,13094792236
QQ：908667251,http://shop1042369.k3.cn,爱疯鞋,拿货地址： 温岭市 横峰   下洋林36号  ,13660025928
QQ：401123188,http://shop1042385.k3.cn,素菲,拿货地址： 温岭市 夹屿   金施村B区169号  ,13957772369
QQ：1272816260,http://shop1034725.k3.cn,日不落鞋业,拿货地址： 温岭市 横峰    横石路   横石中路东洋167号  ,19959337242
QQ：904474297,http://shop1030670.k3.cn,好欢喜鞋业,拿货地址： 温岭市 夹屿   长大村A区240号  ,13282769237 17357784500
QQ：875917425,http://shop1042382.k3.cn,美博鞋业,拿货地址： 温岭市 城北街道   东普村116号  ,13586290167
QQ：3498709186,http://shop1042381.k3.cn,高雅鞋业,拿货地址： 温岭市 城北街道   东普村117号  ,19971839518 18267928433
QQ：1396827313,http://shop1041391.k3.cn,菲曼,拿货地址： 温岭市 横峰   祝家洋305号  ,17858062727
QQ：2390185671,http://shop1042373.k3.cn,均旺鞋业,拿货地址： 温岭市 城北街道   东普村116号  ,15157649894
QQ：407220337,http://shop1042370.k3.cn,新新鞋业,拿货地址： 温岭市 城北街道    万昌村芳田   芳田工业区3-1号  ,13666440898
QQ：120576383,http://shop1042354.k3.cn,伟天鞋业,拿货地址： 温岭市 城北街道    万昌村芳田   芳田新村35幢1号  ,13886993010
QQ：841751420,http://shop1042357.k3.cn,征途鞋业,拿货地址： 温岭市 夹屿   横泾村A区108号  ,15706707000 15086627805
QQ：1208898352,http://shop1042338.k3.cn,小绿绿女鞋,拿货地址： 温岭市 夹屿   金施村A区85号  ,13626662865
QQ：1459044023,http://shop1042324.k3.cn,古典芭莎,拿货地址： 温岭市 横峰   下洋林鞋业园3幢1号  ,13291655550
QQ：956244456,http://shop1042317.k3.cn,佳叶女鞋坊,拿货地址： 温岭市 夹屿   双峰大道155号  ,13486871144
QQ：1263110017,http://shangxuan.k3.cn,尚轩鞋业,拿货地址： 温岭市 城北街道   花桥村621号  ,13605762596 13666804478
QQ：82960144,http://shop1037193.k3.cn,利奇马鞋业,拿货地址： 温岭市 夹屿   金施村B区153号  ,17857527737
QQ：50081740,http://shop1042273.k3.cn,憨童鞋业,拿货地址： 温岭市 城北街道    石粘   南山闸圆环路6号  ,13375862082
QQ：524092870,http://shop1042258.k3.cn,威依妮鞋业,拿货地址： 温岭市 城北街道    石粘   双莲路33号  ,18767631315
QQ：3130403952,http://shop1042276.k3.cn,一路红鞋业,拿货地址： 温岭市 夹屿   泽楚路382号  ,15355766567
QQ：732862452,http://shop1038348.k3.cn,名门望足,拿货地址： 温岭市 夹屿    双峰大道   双峰一区186-1号  ,17830103838 15214788399
QQ：3326966823,http://shop1042285.k3.cn,可爱美眉鞋业,拿货地址： 温岭市 夹屿   金施村A区191号  ,18258680657
QQ：1572176053,http://shop1042271.k3.cn,今禧汇,拿货地址： 温岭市 夹屿   金施村A区191号  ,18257644066
QQ：382609133,http://shop1042279.k3.cn,百变达人,拿货地址： 温岭市 夹屿   横泾村A区87号  ,18257681860 18257681669
QQ：452735699,http://shop1042226.k3.cn,旌旗鞋业,拿货地址： 温岭市 城北街道    沧浦村   九份工业区  ,13733568958
QQ：3499970231,http://chts6688.k3.cn,彩虹天使鞋业,拿货地址： 温岭市 横峰   小东洋旭东路22号后面  ,15990763893
QQ：842415855,http://shop1042063.k3.cn,红火鞋业,拿货地址： 温岭市 夹屿   光明村樟皇200号  ,18101054345
QQ：1921659300,http://shop1042240.k3.cn,燕祺鞋业,拿货地址： 温岭市 夹屿   双峰大道21-1号  ,13738555131
QQ：,http://shop1042251.k3.cn,鞋博士,拿货地址： 温岭市 横峰    横石路   横石中路443号  ,18757705564
QQ：524501699,http://shop1042247.k3.cn,8090女鞋,拿货地址： 温岭市 横峰   东塘工业区广冠路110号  ,15932888382
QQ：478964236,http://shop1042244.k3.cn,醉心恋,拿货地址： 温岭市 夹屿   联夹大道92号  ,15267682661
